Player 1 Heuristic,Player 2 Heuristic, First Player, Depth for player 1, Depth for player 2, Winner
1,1,2,6,7,2
1,1,2,5,6,2
1,1,2,7,8,2
1,1,1,4,5,2
1,1,1,9,8,2
1,1,1,4,3,1
1,1,1,5,6,2
1,1,1,3,3,1
1,1,1,2,3,2
1,1,2,5,5,2
1,2,1,5,6,2
1,2,1,4,6,2
1,2,1,3,3,1
1,2,1,3,4,1
1,2,1,4,6,2
1,2,1,5,5,1
1,2,2,3,4,2
1,2,2,8,8,1
1,2,1,9,10,1
1,2,2,3,3,2
1,3,1,1,2,1
1,3,1,8,8,1
1,3,1,5,4,1
1,3,1,4,5,1
1,3,2,3,2,1
1,3,1,9,11,1
1,3,2,9,11,1
1,3,2,1,2,2
1,3,2,5,5,1
1,3,1,10,10,1
1,4,1,6,6,1
1,4,2,3,3,2
1,4,1,8,9,1
1,4,2,9,8,2
1,4,2,7,8,1
1,4,2,9,10,1
1,4,1,5,7,1
1,4,2,7,7,1
1,4,1,1,3,1
1,4,1,3,4,1
1,5,2,2,2,1
1,5,1,3,2,2
1,5,1,10,9,1
1,5,2,3,2,0
1,5,1,9,10,0
1,5,1,6,8,1
1,5,2,7,7,2
1,5,2,10,11,2
1,5,2,1,2,1
1,5,2,4,4,2
1,6,1,7,7,1
1,6,2,8,7,0
1,6,2,1,2,2
1,6,1,4,4,0
1,6,1,5,7,1
1,6,2,10,9,0
1,6,2,5,4,2
1,6,1,3,2,1
1,6,2,6,7,1
1,6,2,4,5,2
2,1,1,3,3,1
2,1,1,10,12,2
2,1,1,9,10,1
2,1,2,2,4,0
2,1,1,4,4,1
2,1,1,5,4,1
2,1,2,2,3,2
2,1,1,5,6,2
2,1,1,7,7,1
2,1,1,10,11,1
2,2,1,4,3,1
2,2,1,7,7,1
2,2,1,2,2,2
2,2,2,4,5,2
2,2,2,4,5,2
2,2,1,2,2,1
2,2,2,3,3,2
2,2,2,2,1,1
2,2,1,8,8,1
2,2,2,10,11,1
2,3,1,2,2,1
2,3,2,7,6,1
2,3,2,10,9,1
2,3,2,2,2,2
2,3,1,7,7,1
2,3,2,7,8,2
2,3,2,3,4,2
2,3,1,5,4,1
2,3,2,1,2,2
2,3,2,2,2,2
2,4,2,5,6,2
2,4,1,6,7,1
2,4,1,10,11,1
2,4,2,6,7,1
2,4,2,2,4,1
2,4,2,1,2,2
2,4,1,3,3,1
2,4,1,2,2,1
2,4,1,3,4,1
2,4,1,1,1,1
2,5,1,6,5,1
2,5,2,2,2,2
2,5,2,1,1,2
2,5,2,2,1,2
2,5,2,1,1,2
2,5,1,3,3,1
2,5,2,2,3,2
2,5,1,10,11,1
2,5,2,10,10,2
2,5,1,10,11,0
2,6,1,3,3,1
2,6,1,1,3,1
2,6,1,3,4,1
2,6,1,8,9,1
2,6,2,10,9,1
2,6,2,2,2,2
2,6,1,1,1,1
2,6,2,4,3,2
2,6,2,6,6,1
2,6,1,2,2,1
3,1,2,10,9,2
3,1,1,5,4,2
3,1,1,5,6,2
3,1,2,3,3,2
3,1,1,3,2,1
3,1,1,6,5,1
3,1,2,8,7,2
3,1,1,2,2,1
3,1,2,6,5,1
3,1,1,8,8,2
3,2,1,9,8,2
3,2,1,5,6,2
3,2,2,3,2,2
3,2,1,9,9,2
3,2,2,1,1,2
3,2,1,4,4,1
3,2,1,6,7,0
3,2,1,10,12,2
3,2,1,8,9,2
3,2,2,9,9,2
3,3,1,6,5,2
3,3,1,4,6,1
3,3,1,1,1,1
3,3,1,7,6,1
3,3,2,10,10,2
3,3,1,7,6,1
3,3,2,6,6,2
3,3,1,10,11,2
3,3,2,2,2,2
3,3,1,10,11,2
3,4,2,6,7,2
3,4,1,10,10,2
3,4,2,4,5,2
3,4,2,5,5,2
3,4,1,3,4,1
3,4,2,3,3,2
3,4,1,7,8,1
3,4,1,5,7,1
3,4,1,6,6,1
3,4,2,4,3,2
3,5,1,6,5,1
3,5,1,4,4,1
3,5,1,1,2,1
3,5,1,4,6,1
3,5,2,7,8,2
3,5,2,10,10,2
3,5,2,2,2,2
3,5,2,2,4,2
3,5,2,2,4,2
3,5,1,6,5,1
3,6,1,8,9,2
3,6,2,6,6,2
3,6,2,2,2,2
3,6,2,9,10,2
3,6,2,2,3,2
3,6,1,7,8,2
3,6,2,2,1,2
3,6,2,2,4,2
3,6,1,4,4,1
3,6,2,2,3,2
4,1,1,6,7,0
4,1,1,4,3,0
4,1,2,5,4,2
4,1,2,6,6,1
4,1,1,2,1,1
4,1,2,10,10,2
4,1,2,2,2,2
4,1,2,5,5,2
4,1,2,3,4,2
4,1,1,8,7,2
4,2,2,3,4,2
4,2,2,6,6,2
4,2,2,6,5,2
4,2,2,8,8,2
4,2,2,6,7,1
4,2,2,5,6,2
4,2,2,3,3,2
4,2,2,3,2,2
4,2,2,8,10,2
4,2,1,6,5,1
4,3,2,7,6,2
4,3,1,9,8,2
4,3,2,7,6,2
4,3,1,10,9,2
4,3,1,10,11,2
4,3,1,3,4,1
4,3,1,3,4,1
4,3,1,2,4,1
4,3,1,3,2,1
4,3,1,2,1,1
4,4,2,6,7,2
4,4,2,1,3,2
4,4,2,9,10,2
4,4,1,5,7,1
4,4,1,10,11,2
4,4,2,3,4,2
4,4,1,3,5,1
4,4,1,8,8,1
4,4,1,7,7,1
4,4,1,9,9,2
4,5,2,8,7,2
4,5,1,4,5,1
4,5,1,8,7,2
4,5,2,1,1,2
4,5,2,9,9,2
4,5,1,9,11,2
4,5,1,1,3,1
4,5,1,3,4,1
4,5,2,2,3,2
4,5,1,9,9,2
4,6,1,8,7,2
4,6,2,5,4,2
4,6,1,9,8,2
4,6,2,2,2,2
4,6,2,3,2,0
4,6,1,10,9,2
4,6,1,1,1,2
4,6,1,1,2,1
4,6,1,6,6,2
4,6,2,1,3,2
5,1,1,4,4,1
5,1,1,3,3,1
5,1,1,5,7,1
5,1,1,10,11,2
5,1,1,6,6,2
5,1,2,9,9,0
5,1,1,6,5,1
5,1,1,10,10,1
5,1,1,6,6,1
5,1,2,8,9,2
5,2,2,1,2,2
5,2,1,1,2,2
5,2,1,3,4,1
5,2,2,8,10,2
5,2,1,6,7,2
5,2,2,1,1,2
5,2,2,6,6,2
5,2,1,10,9,1
5,2,2,9,11,1
5,2,1,4,5,1
5,3,2,6,6,1
5,3,1,10,10,1
5,3,2,6,5,1
5,3,1,3,2,1
5,3,2,7,8,2
5,3,1,9,9,1
5,3,2,1,2,2
5,3,1,6,7,1
5,3,1,1,2,1
5,3,1,6,5,2
5,4,1,8,10,1
5,4,2,7,7,2
5,4,2,1,3,2
5,4,1,7,6,1
5,4,1,7,9,1
5,4,2,8,7,2
5,4,2,5,4,1
5,4,1,10,9,1
5,4,1,8,9,1
5,4,1,10,9,1
5,5,2,6,8,2
5,5,2,7,7,2
5,5,1,7,9,2
5,5,1,4,5,1
5,5,2,2,3,2
5,5,2,3,5,1
5,5,1,4,3,1
5,5,1,3,3,0
5,5,2,6,6,2
5,5,1,4,6,1
5,6,1,3,3,1
5,6,2,9,8,2
5,6,2,9,10,2
5,6,1,3,2,2
5,6,2,4,5,2
5,6,2,1,3,2
5,6,2,1,1,2
5,6,1,5,4,1
5,6,2,7,7,2
5,6,2,7,8,2
6,1,1,6,6,1
6,1,1,7,9,2
6,1,2,5,5,2
6,1,1,1,2,2
6,1,1,1,2,2
6,1,2,7,8,2
6,1,2,10,10,0
6,1,1,7,7,2
6,1,2,6,8,1
6,1,1,3,3,2
6,2,2,10,11,2
6,2,2,2,1,2
6,2,1,8,9,2
6,2,2,2,3,2
6,2,1,5,4,2
6,2,2,7,6,2
6,2,2,5,6,2
6,2,2,1,2,2
6,2,1,5,6,2
6,2,1,7,7,1
6,3,2,4,4,2
6,3,1,3,4,0
6,3,1,4,6,2
6,3,1,6,5,1
6,3,2,2,2,2
6,3,1,4,4,1
6,3,1,3,3,1
6,3,2,9,10,2
6,3,2,1,2,2
6,3,2,4,5,1
6,4,2,10,12,1
6,4,2,5,6,2
6,4,1,1,2,2
6,4,1,6,7,1
6,4,1,4,4,1
6,4,2,5,5,1
6,4,1,2,3,0
6,4,1,4,3,2
6,4,2,9,8,1
6,4,1,3,2,2
6,5,1,6,6,1
6,5,2,5,7,2
6,5,1,8,9,2
6,5,2,3,3,2
6,5,1,1,3,2
6,5,2,4,3,2
6,5,2,1,2,2
6,5,2,1,2,1
6,5,2,5,6,2
6,5,2,8,7,2
6,6,2,2,3,2
6,6,1,4,5,0
6,6,2,3,2,2
6,6,2,6,5,1
6,6,2,1,2,0
6,6,1,10,11,1
6,6,2,3,4,2
6,6,2,4,5,2
6,6,1,6,6,1
6,6,1,2,2,2
